Datetime,Open,High,Low,Close,Adj Close,Volume
2024-07-31 09:30:00-04:00,420.5899963378906,421.0199890136719,419.0,420.69000244140625,420.69000244140625,3011923
2024-07-31 09:31:00-04:00,418.4750061035156,421.7749938964844,418.2699890136719,420.9049987792969,420.9049987792969,624448
2024-07-31 09:32:00-04:00,420.8800048828125,421.0400085449219,418.36749267578125,418.6700134277344,418.6700134277344,371297
2024-07-31 09:33:00-04:00,418.7300109863281,419.639892578125,417.07501220703125,417.5249938964844,417.5249938964844,395371
2024-07-31 09:34:00-04:00,417.30999755859375,417.565185546875,415.55999755859375,416.2550048828125,416.2550048828125,448434
2024-07-31 09:35:00-04:00,416.2799987792969,417.8399963378906,415.8999938964844,416.8399963378906,416.8399963378906,242334
2024-07-31 09:36:00-04:00,416.8599853515625,417.45001220703125,416.5006103515625,416.7850036621094,416.7850036621094,197445
2024-07-31 09:37:00-04:00,416.84600830078125,417.0,415.3900146484375,415.5,415.5,243278
2024-07-31 09:38:00-04:00,415.5,415.7099914550781,414.67999267578125,415.30999755859375,415.30999755859375,312551
2024-07-31 09:39:00-04:00,415.3599853515625,416.1300048828125,414.9800109863281,416.0199890136719,416.0199890136719,229803
2024-07-31 09:40:00-04:00,415.95001220703125,416.489990234375,415.3599853515625,416.0899963378906,416.0899963378906,153533
2024-07-31 09:41:00-04:00,416.1059875488281,416.6199951171875,415.8800048828125,416.45721435546875,416.45721435546875,141263
2024-07-31 09:42:00-04:00,416.510009765625,417.0,416.1108093261719,416.3190002441406,416.3190002441406,166909
2024-07-31 09:43:00-04:00,416.3599853515625,416.4700012207031,415.17999267578125,415.4465026855469,415.4465026855469,150241
2024-07-31 09:44:00-04:00,415.3999938964844,415.75,414.8999938964844,415.67498779296875,415.67498779296875,191165
2024-07-31 09:45:00-04:00,415.69000244140625,415.8299865722656,414.0799865722656,414.2699890136719,414.2699890136719,214676
2024-07-31 09:46:00-04:00,414.29998779296875,414.3299865722656,414.20001220703125,414.29998779296875,414.29998779296875,6923
2024-07-31 09:47:00-04:00,412.31109619140625,414.0,412.29998779296875,413.80938720703125,413.80938720703125,563984
2024-07-31 09:48:00-04:00,413.8299865722656,413.95001220703125,412.9200134277344,413.3486022949219,413.3486022949219,168847
2024-07-31 09:49:00-04:00,413.260009765625,414.4100036621094,413.1300048828125,414.3428039550781,414.3428039550781,168633
2024-07-31 09:50:00-04:00,414.260009765625,414.7799987792969,414.1886901855469,414.489990234375,414.489990234375,143370
2024-07-31 09:51:00-04:00,414.5,415.5,414.37078857421875,415.3324890136719,415.3324890136719,112722
2024-07-31 09:52:00-04:00,415.30499267578125,416.1000061035156,415.2508850097656,415.8999938964844,415.8999938964844,144415
2024-07-31 09:53:00-04:00,415.9700012207031,416.09991455078125,415.0,415.3900146484375,415.3900146484375,107187
2024-07-31 09:54:00-04:00,415.32000732421875,416.1700134277344,415.07000732421875,416.1050109863281,416.1050109863281,97743
2024-07-31 09:55:00-04:00,416.0899963378906,417.2900085449219,415.95001220703125,417.0199890136719,417.0199890136719,206770
2024-07-31 09:56:00-04:00,417.0400085449219,417.2900085449219,416.19970703125,416.3699951171875,416.3699951171875,116616
2024-07-31 09:57:00-04:00,416.3999938964844,417.239990234375,416.2799987792969,417.2349853515625,417.2349853515625,120724
2024-07-31 09:58:00-04:00,417.18499755859375,418.7200012207031,417.0400085449219,418.2300109863281,418.2300109863281,356028
2024-07-31 09:59:00-04:00,418.260009765625,419.1400146484375,418.20001220703125,418.7300109863281,418.7300109863281,184427
2024-07-31 10:00:00-04:00,418.7300109863281,418.739990234375,418.21661376953125,418.5400085449219,418.5400085449219,125392
2024-07-31 10:01:00-04:00,418.57000732421875,418.8799133300781,418.0299987792969,418.4067077636719,418.4067077636719,114943
2024-07-31 10:02:00-04:00,418.3349914550781,418.6700134277344,418.17999267578125,418.3450012207031,418.3450012207031,123930
2024-07-31 10:03:00-04:00,418.2799987792969,419.05999755859375,418.2200012207031,418.3900146484375,418.3900146484375,114953
2024-07-31 10:04:00-04:00,418.3399963378906,418.7200012207031,417.8500061035156,418.46929931640625,418.46929931640625,96110
2024-07-31 10:05:00-04:00,418.3900146484375,419.0,418.260009765625,419.0,419.0,121780
2024-07-31 10:06:00-04:00,419.07000732421875,420.1651916503906,419.07000732421875,419.8399963378906,419.8399963378906,198814
